
 total force (fx,fy,fz) for set NLOAD and time  0.4700000E+00

        1.644707E+04 -5.207115E+00  1.282798E+01

 total force (fx,fy,fz) for set NLOAD and time  0.4800000E+00

        1.644742E+04 -4.378150E+00  1.509433E+01

 total force (fx,fy,fz) for set NLOAD and time  0.4900000E+00

        1.644771E+04 -2.752169E+00  1.786597E+01

 total force (fx,fy,fz) for set NLOAD and time  0.5000000E+00

        1.644796E+04 -2.729508E-01  2.131232E+01

 total force (fx,fy,fz) for set NLOAD and time  0.5100000E+00

        1.644814E+04  3.494660E+00  2.577213E+01

 total force (fx,fy,fz) for set NLOAD and time  0.5200000E+00

        1.644824E+04  8.225579E+00  3.110256E+01

 total force (fx,fy,fz) for set NLOAD and time  0.5300000E+00

        1.644826E+04  1.229022E+01  3.594299E+01

 total force (fx,fy,fz) for set NLOAD and time  0.5400000E+00

        1.644783E+04  1.304329E+01  3.735959E+01

 total force (fx,fy,fz) for set NLOAD and time  0.5500000E+00

        1.644726E+04  1.323558E+01  3.803481E+01

 total force (fx,fy,fz) for set NLOAD and time  0.5600000E+00

        1.644660E+04  1.339355E+01  3.850742E+01

 total force (fx,fy,fz) for set NLOAD and time  0.5700000E+00

        1.644587E+04  1.350450E+01  3.875819E+01

 total force (fx,fy,fz) for set NLOAD and time  0.5800000E+00

        1.644507E+04  1.355889E+01  3.877559E+01

 total force (fx,fy,fz) for set NLOAD and time  0.5900000E+00

        1.644421E+04  1.354946E+01  3.855591E+01

 total force (fx,fy,fz) for set NLOAD and time  0.6000000E+00

        1.644328E+04  1.347267E+01  3.810687E+01

 total force (fx,fy,fz) for set NLOAD and time  0.6100000E+00

        1.644229E+04  1.332628E+01  3.743744E+01

 total force (fx,fy,fz) for set NLOAD and time  0.6200000E+00

        1.644124E+04  1.310946E+01  3.655813E+01

 total force (fx,fy,fz) for set NLOAD and time  0.6300000E+00

        1.644015E+04  1.282361E+01  3.548349E+01

 total force (fx,fy,fz) for set NLOAD and time  0.6400000E+00

        1.643901E+04  1.246969E+01  3.422384E+01

 total force (fx,fy,fz) for set NLOAD and time  0.6500000E+00

        1.643783E+04  1.205279E+01  3.279989E+01

 total force (fx,fy,fz) for set NLOAD and time  0.6600000E+00

        1.643661E+04  1.157792E+01  3.122963E+01

 total force (fx,fy,fz) for set NLOAD and time  0.6700000E+00

        1.643536E+04  1.105131E+01  2.953289E+01

 total force (fx,fy,fz) for set NLOAD and time  0.6800000E+00

        1.643409E+04  1.047833E+01  2.772573E+01

 total force (fx,fy,fz) for set NLOAD and time  0.6900000E+00

        1.643279E+04  9.862610E+00  2.581836E+01

 total force (fx,fy,fz) for set NLOAD and time  0.7000000E+00

        1.643146E+04  9.208912E+00  2.382388E+01

 total force (fx,fy,fz) for set NLOAD and time  0.7100000E+00

        1.643012E+04  8.522561E+00  2.175662E+01

 total force (fx,fy,fz) for set NLOAD and time  0.7200000E+00

        1.642876E+04  7.809565E+00  1.963252E+01

 total force (fx,fy,fz) for set NLOAD and time  0.7300000E+00

        1.642739E+04  7.073816E+00  1.746164E+01

 total force (fx,fy,fz) for set NLOAD and time  0.7400000E+00

        1.642600E+04  6.318506E+00  1.525213E+01

 total force (fx,fy,fz) for set NLOAD and time  0.7500000E+00

        1.642459E+04  5.547347E+00  1.301364E+01

 total force (fx,fy,fz) for set NLOAD and time  0.7600000E+00

        1.642318E+04  4.762290E+00  1.075118E+01

 total force (fx,fy,fz) for set NLOAD and time  0.7700000E+00

        1.642175E+04  3.966303E+00  8.472486E+00

 total force (fx,fy,fz) for set NLOAD and time  0.7800000E+00

        1.642031E+04  3.161066E+00  6.181991E+00

 total force (fx,fy,fz) for set NLOAD and time  0.7900000E+00

        1.641886E+04  2.348234E+00  3.884079E+00

 total force (fx,fy,fz) for set NLOAD and time  0.8000000E+00

        1.641740E+04  1.528335E+00  1.580258E+00

 total force (fx,fy,fz) for set NLOAD and time  0.8100000E+00

        1.641594E+04  6.980906E-01 -7.375808E-01

 total force (fx,fy,fz) for set NLOAD and time  0.8200000E+00

        1.641447E+04 -1.526200E-01 -3.094760E+00

 total force (fx,fy,fz) for set NLOAD and time  0.8300000E+00

        1.641302E+04 -1.040820E+00 -5.534628E+00

 total force (fx,fy,fz) for set NLOAD and time  0.8400000E+00

        1.641158E+04 -1.979978E+00 -8.092687E+00

 total force (fx,fy,fz) for set NLOAD and time  0.8500000E+00

        1.641018E+04 -2.972567E+00 -1.077774E+01

 total force (fx,fy,fz) for set NLOAD and time  0.8600000E+00

        1.640881E+04 -4.024634E+00 -1.360843E+01

 total force (fx,fy,fz) for set NLOAD and time  0.8700000E+00

        1.640749E+04 -5.138866E+00 -1.659233E+01
